Citizen response,Citizenresp,Citizen resp,Date & Time,Latitude,Longitude,Depth,empty,Magnitude,Region
,,,"2023-11-22 09:51:43
8 min ago",47.588,-2.259,5,,2.2,FRANCE
,,,"2023-11-22 09:20:02
40 min ago",34.540,61.860,10,,3.2,WESTERN AFGHANISTAN
,,,"2023-11-22 09:15:34
44 min ago",-41.227,172.544,180,,3.0,SOUTH ISLAND OF NEW ZEALAND
,,,"2023-11-22 09:11:16
49 min ago",40.530,20.820,5,,2.2,ALBANIA
,,,"2023-11-22 09:06:19
54 min ago",45.759,5.427,5,,2.1,FRANCE
,,,"2023-11-22 08:53:16
1 hr 07 min ago",37.976,37.645,4,,2.0,CENTRAL TURKEY
,,,"2023-11-22 08:48:23
1 hr 12 min ago",19.257,-155.374,32,,2.0,"ISLAND OF HAWAII, HAWAII"
,,,"2023-11-22 08:43:59
1 hr 16 min ago",38.360,37.369,28,,1.9,CENTRAL TURKEY
,,,"2023-11-22 08:32:48
1 hr 27 min ago",-31.700,-72.120,30,,2.7,"OFFSHORE COQUIMBO, CHILE"
,,,"2023-11-22 08:32:42
1 hr 27 min ago",-6.520,129.340,10,,4.1,BANDA SEA
,,,"2023-11-22 08:31:24
1 hr 29 min ago",19.351,-155.299,1,,2.0,"ISLAND OF HAWAII, HAWAII"
,,,"2023-11-22 08:17:17
1 hr 43 min ago",34.500,61.920,10,,3.3,WESTERN AFGHANISTAN
,,,"2023-11-22 08:16:03
1 hr 44 min ago",43.001,13.020,8,,2.1,CENTRAL ITALY
,,,"2023-11-22 08:14:23
1 hr 46 min ago",-31.710,-72.050,34,,2.6,"OFFSHORE COQUIMBO, CHILE"
,,,"2023-11-22 08:13:15
1 hr 47 min ago",43.000,13.024,5,,2.5,CENTRAL ITALY
,,,"2023-11-22 08:08:07
1 hr 52 min ago",38.110,38.507,9,,1.6,EASTERN TURKEY
,,,"2023-11-22 07:57:10
2 hr 03 min ago",-6.660,105.130,23,,3.4,"SUNDA STRAIT, INDONESIA"
,,,"2023-11-22 07:54:33
2 hr 06 min ago",0.300,122.270,13,,2.5,"MINAHASA, SULAWESI, INDONESIA"
,,,"2023-11-22 07:53:03
2 hr 07 min ago",-24.180,-68.030,252,,3.4,"ANTOFAGASTA, CHILE"
,,,"2023-11-22 07:46:49
2 hr 13 min ago",27.060,88.760,5,,3.5,"SIKKIM, INDIA"
,,,"2023-11-22 07:44:51
2 hr 15 min ago",-32.130,-71.760,22,,2.8,"OFFSHORE COQUIMBO, CHILE"
,,,"2023-11-22 07:36:31
2 hr 24 min ago",39.717,34.226,7,,1.0,CENTRAL TURKEY
,,,"2023-11-22 07:33:34
2 hr 26 min ago",46.408,7.788,9,,1.0,SWITZERLAND
,,,"2023-11-22 07:30:52
2 hr 29 min ago",38.275,37.807,10,,2.0,CENTRAL TURKEY
,,,"2023-11-22 07:29:26
2 hr 31 min ago",0.270,122.250,12,,3.2,"MINAHASA, SULAWESI, INDONESIA"
,,,"2023-11-22 07:21:03
2 hr 39 min ago",-22.895,-69.071,96,,4.8,"ANTOFAGASTA, CHILE"
,,,"2023-11-22 07:12:17
2 hr 48 min ago",-33.560,136.660,10,,2.6,NEAR COAST OF SOUTH AUSTRALIA
,,,"2023-11-22 07:05:42
2 hr 54 min ago",38.140,20.410,66,,2.6,GREECE
,,,"2023-11-22 07:01:41
2 hr 58 min ago",38.005,37.805,7,,1.3,CENTRAL TURKEY
,,,"2023-11-22 06:44:34
3 hr 15 min ago",12.420,123.660,8,,3.8,"MASBATE REGION, PHILIPPINES"
,,,"2023-11-22 06:37:16
3 hr 23 min ago",18.039,-66.800,15,,2.4,PUERTO RICO
,,,"2023-11-22 06:07:22
3 hr 53 min ago",37.823,36.282,7,,1.4,CENTRAL TURKEY
,,,"2023-11-22 06:04:03
3 hr 56 min ago",40.876,30.794,7,,1.2,WESTERN TURKEY
,,,"2023-11-22 05:56:52
4 hr 03 min ago",18.240,-74.410,5,,3.1,HAITI REGION
,,,"2023-11-22 05:38:04
4 hr 22 min ago",38.228,38.269,7,,1.1,EASTERN TURKEY
,,,"2023-11-22 05:34:54
4 hr 25 min ago",38.508,39.473,7,,0.8,EASTERN TURKEY
,,,"2023-11-22 05:33:56
4 hr 26 min ago",39.370,28.255,13,,3.4,WESTERN TURKEY
,,,"2023-11-22 05:27:32
4 hr 33 min ago",19.276,-155.368,29,,2.2,"ISLAND OF HAWAII, HAWAII"
,,,"2023-11-22 05:11:20
4 hr 49 min ago",34.796,23.463,41,,3.5,"CRETE, GREECE"
,,,"2023-11-22 05:07:30
4 hr 53 min ago",-31.580,-69.480,122,,3.1,"SAN JUAN, ARGENTINA"
,,,"2023-11-22 05:07:02
4 hr 53 min ago",37.668,35.438,7,,1.4,CENTRAL TURKEY
,,,"2023-11-22 05:06:16
4 hr 54 min ago",19.369,-155.285,2,,2.3,"ISLAND OF HAWAII, HAWAII"
,,,"2023-11-22 04:56:27
5 hr 04 min ago",37.900,36.264,7,,2.0,CENTRAL TURKEY
,,,"2023-11-22 04:54:33
5 hr 06 min ago",40.422,20.727,15,,2.0,ALBANIA
,,,"2023-11-22 04:52:09
5 hr 08 min ago",-31.720,-72.050,34,,3.6,"OFFSHORE COQUIMBO, CHILE"
,,,"2023-11-22 04:49:13
5 hr 11 min ago",-6.300,129.480,10,,3.8,BANDA SEA
,,,"2023-11-22 04:48:31
5 hr 12 min ago",37.884,36.246,7,,1.9,CENTRAL TURKEY
,,,"2023-11-22 04:47:32
5 hr 13 min ago",-14.935,167.975,10,,6.7,VANUATU
,,,"2023-11-22 04:38:35
5 hr 21 min ago",-24.210,-67.130,212,,3.5,"SALTA, ARGENTINA"
,,,"2023-11-22 04:32:59
5 hr 27 min ago",19.360,-155.302,3,,2.1,"ISLAND OF HAWAII, HAWAII"
,,,"2023-11-22 04:32:31
5 hr 28 min ago",43.283,12.759,14,,2.1,CENTRAL ITALY
,,,"2023-11-22 04:31:08
5 hr 29 min ago",35.756,-121.247,5,,2.0,CENTRAL CALIFORNIA
,,,"2023-11-22 04:30:26
5 hr 30 min ago",-31.700,-72.010,27,,3.1,"OFFSHORE COQUIMBO, CHILE"
,,,"2023-11-22 04:25:18
5 hr 35 min ago",-6.410,129.490,10,,4.2,BANDA SEA
,,,"2023-11-22 04:19:22
5 hr 41 min ago",-21.950,-68.950,113,,2.5,"ANTOFAGASTA, CHILE"
,,,"2023-11-22 04:15:38
5 hr 44 min ago",13.490,120.110,18,,3.6,"MINDORO, PHILIPPINES"
,,,"2023-11-22 04:15:27
5 hr 45 min ago",1.770,127.160,111,,3.6,"HALMAHERA, INDONESIA"
,,,"2023-11-22 04:10:13
5 hr 50 min ago",-6.440,129.370,10,,4.0,BANDA SEA
,,,"2023-11-22 04:05:47
5 hr 54 min ago",-42.030,-72.810,18,,3.6,"LOS LAGOS, CHILE"
,,,"2023-11-22 04:05:38
5 hr 54 min ago",38.046,38.729,7,,0.7,EASTERN TURKEY
,,,"2023-11-22 04:02:12
5 hr 58 min ago",-21.740,-68.500,115,,2.7,"ANTOFAGASTA, CHILE"
,,,"2023-11-22 03:49:36
6 hr 10 min ago",37.059,29.018,7,,1.6,WESTERN TURKEY
,,,"2023-11-22 03:47:18
6 hr 13 min ago",38.194,37.742,12,,1.2,CENTRAL TURKEY
,,,"2023-11-22 03:37:23
6 hr 23 min ago",40.501,16.075,24,,2.1,SOUTHERN ITALY
,,,"2023-11-22 03:32:26
6 hr 28 min ago",34.584,32.211,22,,1.9,CYPRUS REGION
,,,"2023-11-22 03:27:29
6 hr 33 min ago",38.281,37.123,6,,1.5,CENTRAL TURKEY
,,,"2023-11-22 03:26:47
6 hr 33 min ago",1.350,126.350,26,,3.3,MOLUCCA SEA
,,,"2023-11-22 03:24:10
6 hr 36 min ago",36.731,28.396,12,,1.5,DODECANESE IS.-TURKEY BORDER REG
,,,"2023-11-22 03:20:27
6 hr 40 min ago",-21.810,-68.680,124,,3.0,"ANTOFAGASTA, CHILE"
,,,"2023-11-22 03:19:40
6 hr 40 min ago",35.264,-6.125,30,,2.8,STRAIT OF GIBRALTAR
,,,"2023-11-22 03:13:21
6 hr 47 min ago",38.272,38.336,7,,1.1,EASTERN TURKEY
,,,"2023-11-22 03:11:37
6 hr 48 min ago",58.032,-154.964,76,,3.1,ALASKA PENINSULA
